country,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Algeria,2.60,2020-03-14,0.86,2020-06-14,1.05,2020-09-13,0.97
Argentina,1.41,2020-03-17,1.09,2020-06-28,1.29,2020-09-13,0.96
Australia,1.26,2020-03-22,0.71,2020-06-01,1.76,2020-09-13,0.80
Austria,1.90,2020-03-12,0.64,2020-05-25,1.19,2020-09-13,1.00
Bangladesh,1.94,2020-03-29,1.06,2020-05-15,1.05,2020-09-13,1.00
Belarus,1.63,2020-04-06,0.98,2020-05-25,1.09,2020-09-13,1.00
Belgium,2.90,2020-03-14,0.68,2020-05-25,1.36,2020-09-13,0.95
Bolivia,1.65,2020-04-05,1.05,2020-06-01,1.19,2020-09-13,0.96
Brazil,1.86,2020-04-08,1.02,2020-06-15,1.13,2020-09-13,0.94
Bulgaria,1.64,2020-03-11,0.97,2020-05-25,1.31,2020-09-13,0.98
Canada,2.00,2020-03-26,0.84,2020-05-25,1.07,2020-09-13,0.97
Chile,1.40,2020-05-18,0.94,2020-07-20,1.08,2020-09-13,0.99
China,3.44,2020-01-21,0.62,2020-04-08,1.03,2020-09-13,0.97
Colombia,2.45,2020-03-19,1.15,2020-06-01,1.24,2020-09-13,0.92
Croatia,1.35,2020-03-20,0.71,2020-05-25,1.30,2020-09-13,1.06
Cuba,1.18,2020-04-08,0.65,2020-06-01,1.17,2020-09-13,1.00
Cyprus,1.57,2020-03-12,0.46,2020-05-25,1.03,2020-09-13,0.97
Czechia,2.20,2020-03-14,0.46,2020-05-25,1.35,2020-09-13,1.02
Denmark,2.44,2020-03-09,0.64,2020-05-25,1.11,2020-09-13,0.98
Dominican Republic,2.61,2020-03-15,0.89,2020-06-01,1.18,2020-09-13,0.99
Ecuador,1.87,2020-04-10,0.87,2020-06-01,1.11,2020-09-13,0.91
Egypt,1.90,2020-03-20,1.07,2020-06-15,0.84,2020-09-13,1.02
Estonia,2.43,2020-03-11,0.42,2020-05-25,0.80,2020-09-13,0.81
Finland,1.75,2020-03-26,0.65,2020-05-25,0.96,2020-09-13,0.92
France,1.78,2020-03-14,0.76,2020-05-25,1.41,2020-09-13,0.96
Germany,2.50,2020-03-14,0.75,2020-05-25,1.17,2020-09-13,0.97
Greece,1.54,2020-03-08,0.63,2020-05-25,1.44,2020-09-13,1.01
Honduras,1.50,2020-04-06,0.98,2020-06-01,1.17,2020-09-13,0.96
Hungary,1.93,2020-03-23,0.77,2020-05-25,1.17,2020-09-13,1.01
Iceland,1.42,2020-03-21,0.46,2020-05-15,0.98,2020-09-13,0.94
India,1.58,2020-04-19,1.10,2020-05-15,1.12,2020-09-13,1.01
Indonesia,1.61,2020-03-15,1.03,2020-06-15,1.09,2020-09-13,1.00
Iran,2.66,2020-02-25,0.89,2020-04-20,1.21,2020-09-13,0.91
Ireland,1.65,2020-03-27,0.68,2020-05-25,1.11,2020-09-13,0.94
Israel,2.78,2020-03-17,0.70,2020-05-15,1.31,2020-09-13,0.98
Italy,2.73,2020-02-27,0.86,2020-05-25,1.21,2020-09-13,0.95
Japan,1.38,2020-04-01,0.77,2020-06-01,1.42,2020-09-13,0.92
Kuwait,1.93,2020-04-16,0.89,2020-06-30,1.10,2020-09-13,0.97
Latvia,1.54,2020-03-30,0.49,2020-05-25,0.96,2020-09-13,0.94
Lithuania,1.80,2020-03-12,0.69,2020-05-25,0.94,2020-09-13,0.92
Luxembourg,1.60,2020-03-18,0.58,2020-05-25,1.21,2020-09-13,0.98
Malaysia,2.28,2020-03-07,0.61,2020-05-15,0.80,2020-09-13,0.81
Malta,1.61,2020-03-20,0.65,2020-05-25,1.28,2020-09-13,1.02
Mexico,2.45,2020-04-01,1.04,2020-06-01,1.11,2020-09-13,0.96
Moldova,1.87,2020-03-19,1.01,2020-05-15,1.14,2020-09-13,0.97
Morocco,2.15,2020-03-12,0.76,2020-06-01,1.52,2020-09-13,1.04
Netherlands,2.74,2020-03-08,0.75,2020-05-25,1.22,2020-09-13,0.97
Nigeria,1.67,2020-04-13,0.95,2020-05-15,0.94,2020-09-13,0.95
Norway,1.71,2020-03-17,0.54,2020-05-15,0.99,2020-09-13,0.94
Pakistan,1.62,2020-05-11,0.83,2020-05-20,0.81,2020-09-13,0.87
Panama,1.38,2020-03-19,0.96,2020-05-15,1.26,2020-09-13,0.92
Peru,2.30,2020-04-02,1.05,2020-06-01,1.17,2020-09-13,0.85
Philippines,1.17,2020-03-15,0.93,2020-06-01,1.29,2020-09-13,1.00
Poland,1.53,2020-03-18,0.94,2020-05-25,1.19,2020-09-13,0.91
Portugal,2.21,2020-03-10,0.78,2020-05-25,1.08,2020-09-13,0.96
Romania,1.75,2020-03-15,0.82,2020-05-25,1.36,2020-09-13,0.97
Russia,1.67,2020-04-18,0.93,2020-05-15,1.02,2020-09-13,0.99
Saudi Arabia,2.55,2020-03-23,1.13,2020-06-21,1.07,2020-09-13,0.97
Serbia,1.71,2020-03-24,0.73,2020-05-15,1.43,2020-09-13,0.89
Slovakia,1.55,2020-03-28,0.50,2020-05-25,1.36,2020-09-13,1.01
Slovenia,1.56,2020-03-20,0.63,2020-05-25,1.07,2020-09-13,0.98
South Africa,2.68,2020-03-29,1.09,2020-06-01,1.31,2020-09-13,0.89
South Korea,2.21,2020-02-21,0.83,2020-05-06,1.26,2020-09-13,1.02
Spain,3.49,2020-03-04,0.74,2020-05-25,1.52,2020-09-13,0.94
Sweden,2.01,2020-03-17,0.90,2020-05-25,0.94,2020-09-13,0.88
Switzerland,2.36,2020-03-08,0.66,2020-05-25,1.28,2020-09-13,0.98
Turkey,2.65,2020-03-19,0.72,2020-06-01,1.11,2020-09-13,1.01
Ukraine,1.86,2020-03-23,0.99,2020-05-15,1.22,2020-09-13,1.02
United Arab Emirates,1.74,2020-04-03,0.80,2020-06-01,1.13,2020-09-13,1.00
United Kingdom,3.02,2020-03-10,0.85,2020-06-01,1.14,2020-09-13,0.93
United States,2.26,2020-03-15,0.90,2020-05-10,1.27,2020-09-13,0.95
